,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,rt.sulfur.dioxide
1714,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6,4.795831523
4386,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5,7.141428429
690,6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7,5.830951895
308,7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6,6.403124237
4853,6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4,5,3.464101615
4514,6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6,5.196152423
4359,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,5,6.633249581
4427,6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,5.291502622
2177,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,3.31662479
4529,6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6,4.242640687
4544,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,4
1727,7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6,5.291502622
2794,6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,6.244997998
1067,6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,7.874007874
3043,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,7.549834435
3995,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,5.656854249
2127,6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,4.795831523
666,7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,4.898979486
200,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,7.348469228
2525,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5,5.291502622
3377,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,7.280109889
1384,7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,6,5
4694,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,4.242640687
2573,7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,3.16227766
4028,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5,4.69041576
3334,5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,6.480740698
1368,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5,4.358898944
1611,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,6.633249581
2241,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,6.403124237
3093,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,5.291502622
3563,7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6,6.480740698
30,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,6.08276253
3397,7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6,6.557438524
3363,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,6.403124237
4880,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6,8.246211251
2933,6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,6,8.306623863
3616,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,3.31662479
4774,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7,4.123105626
1892,7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5,6.633249581
792,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,5.291502622
1036,8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,6.244997998
3152,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,6.08276253
296,6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,5.830951895
120,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,7.549834435
810,6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,7.549834435
1299,7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,6.708203932
58,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,7.071067812
1479,7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6,6.244997998
446,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,4
527,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,1.732050808
4199,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5,7.937253933
962,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7,5.830951895
3168,5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,6
4695,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,6.164414003
2847,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7,3.741657387
602,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,5.567764363
737,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,6.32455532
3946,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,6.8556546
336,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,4
3369,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,7.280109889
1900,6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,6.403124237
2887,6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5,4.242640687
1445,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.08276253
3160,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6,5.477225575
2813,6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6,5.196152423
365,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7,4.242640687
4509,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,8.660254038
1995,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,6.8556546
1247,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,6.403124237
2143,7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,8
3267,8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6,5.830951895
4660,6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,5.291502622
1252,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,5.291502622
3021,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,1.732050808
1404,7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8,5.385164807
2597,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,5.291502622
4116,7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,6,5.385164807
4234,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,4.795831523
2737,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,5.830951895
936,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,7.810249676
572,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,5.099019514
1784,8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6,4.123105626
2672,5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7,6.164414003
403,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,4.69041576
4030,6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6,5.744562647
1363,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7,6.480740698
825,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,2.645751311
1377,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6,2.449489743
4377,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5,4.123105626
4826,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6,5.385164807
4547,6.5,0.2,0.31,2.1,0.033,32,95,0.989435,2.96,0.61,12,6,5.656854249
1629,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,3.741657387
1984,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,7.280109889
789,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,5.099019514
3877,6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5,7.348469228
1502,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,5.830951895
2,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,3.741657387
3304,6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7,6
2202,6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6,4.795831523
1284,8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,7.071067812
2731,6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5,6.403124237
78,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,4.472135955
3988,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6,8.544003745
2470,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,5.385164807
4663,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,6.633249581
3450,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,7.681145748
1630,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,4.582575695
544,6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,5.385164807
4365,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,6
178,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,7.549834435
329,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,7.416198487
3507,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,4.582575695
1337,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,6.164414003
2204,7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,3.741657387
2232,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6,6.480740698
2230,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6,6.480740698
523,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,4.69041576
3772,6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6,7.810249676
2828,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,7.280109889
4179,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,7,7
4548,5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,4.123105626
1572,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,7
722,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,3.872983346
2609,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,7.280109889
3673,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8,5.099019514
1920,7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,6,7.483314774
1640,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,5.099019514
2420,6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5,8.185352772
4054,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,5
1210,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,5.477225575
2818,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,3.741657387
4107,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5,6.782329983
1939,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,5.196152423
2558,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,8.185352772
2271,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,6.403124237
1494,8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8,6.244997998
2853,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5,6.08276253
3670,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7,6.403124237
4364,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5,5.656854249
442,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,5
3340,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,4.795831523
4405,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,6.92820323
1228,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5,4.472135955
3742,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.385164807
3196,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6,6
3811,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3,6.480740698
1702,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,6.557438524
2717,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,8.124038405
131,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,2.645751311
3444,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,6
3536,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,7
1534,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,5.656854249
1936,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,6.782329983
529,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,4.898979486
4173,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,3.741657387
1396,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,5.196152423
2195,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,4.898979486
1095,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,7.211102551
4501,7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6,6
2186,7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7,4.898979486
3512,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7,4.69041576
4772,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,8.306623863
2103,6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5,5.291502622
1610,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7,6.782329983
264,7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,8.124038405
1814,7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,4.242640687
1450,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,7
2809,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6,7.745966692
1569,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,7
3001,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,5.385164807
2113,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,6.633249581
2292,8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,6.164414003
2329,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,4.69041576
1083,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,7.211102551
4348,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,7.874007874
715,6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6,6.244997998
2038,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.656854249
2899,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5,5
1907,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,4
1513,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7,5.385164807
4328,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,6.8556546
1659,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,7.211102551
736,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,3.872983346
3549,6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6,4.898979486
4738,6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7,6.403124237
1460,7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6,5.196152423
1768,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,7.071067812
3324,7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6,3.872983346
330,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,5.744562647
2373,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4,2.236067977
2050,6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,5.656854249
4710,5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6,6.708203932
2913,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,6
2410,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,4.795831523
665,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,7
1871,6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6,5.916079783
3495,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,6.480740698
3800,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,4.582575695
14,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,6.92820323
3250,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,6.557438524
600,6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,3.741657387
4682,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6,3.31662479
3708,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,5.385164807
3641,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6,6.480740698
4421,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,6.08276253
4717,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,3.16227766
3479,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,4.69041576
2605,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,6.08276253
4048,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,7
2357,7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6,5.385164807
3936,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5,7.071067812
4659,7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6,6.557438524
3804,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,4
2649,6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6,5.385164807
1297,7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,5.477225575
823,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,5.830951895
1127,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,8.544003745
945,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,4
4444,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,3.741657387
800,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,3.741657387
467,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,7.348469228
541,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,3.16227766
4446,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,4.898979486
428,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,6.92820323
941,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,6.32455532
1380,6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6,2.236067977
2054,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,4.358898944
4830,6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7,4.69041576
4658,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7,7.416198487
2249,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,4
2663,7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6,6.782329983
4349,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6,7.810249676
3623,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,3.31662479
1133,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,5.291502622
3970,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,5.744562647
577,8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6,6.8556546
1704,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,5.196152423
889,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,6.244997998
2147,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,5.099019514
2298,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6,8.124038405
3124,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,3.16227766
907,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4,2.828427125
718,7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,5.830951895
4573,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,7,5.385164807
2610,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,2
3607,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,6.403124237
4209,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6,4.358898944
1987,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,5.196152423
3478,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,6.244997998
4319,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7,4.795831523
2269,6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6,5.916079783
4187,7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,5,4.795831523
4065,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5,4.795831523
2970,6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6,4.123105626
1899,7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6,3.872983346
2004,7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6,5.744562647
987,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,6.633249581
1773,7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6,5.656854249
1464,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6,3.31662479
3359,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,5.385164807
1226,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,4.358898944
137,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,6
3293,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,7.681145748
1889,7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5,7.071067812
2748,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,6.92820323
2396,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,5.291502622
747,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,5.567764363
1355,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,6.557438524
4075,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4,3.872983346
353,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,5.196152423
3343,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,5.830951895
3302,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,4.582575695
1529,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,5.744562647
2032,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.656854249
